id,type,lat,lon,name,operator,capacity,socket_outlet_1_type,socket_outlet_1_power,socket_outlet_2_type,socket_outlet_2_power,access
3278087126,node,49.1568574,16.6287013,N/A,PRE,2,N/A,N/A,N/A,N/A,yes
3378608749,node,49.1861289,16.6497602,ČEZ,ČEZ,2,N/A,N/A,N/A,N/A,public
4037185646,node,49.1990962,16.609702,N/A,ČEZ,2,N/A,N/A,N/A,N/A,public
4590736272,node,49.1823099,16.6064038,N/A,EON,1,N/A,N/A,N/A,N/A,public
5291190456,node,49.1717897,16.5697987,N/A,Lidl,2,N/A,N/A,N/A,N/A,public
5630559779,node,49.1761262,16.5105633,N/A,evmapa.cz,2,N/A,N/A,N/A,N/A,public
5630565916,node,49.1732886,16.5734247,N/A,E.ON,N/A,N/A,N/A,N/A,N/A,public
5630570022,node,49.1895801,16.5698633,N/A,evmapa.cz,3,N/A,N/A,N/A,N/A,public
5630581678,node,49.1886513,16.6147196,N/A,E.ON,2,N/A,N/A,N/A,N/A,public
5630588086,node,49.1845955,16.6224318,N/A,Phoenix Contact,2,N/A,N/A,N/A,N/A,public
5630603891,node,49.192797,16.6180314,N/A,Alza,1,N/A,N/A,N/A,N/A,public
5630616446,node,49.1404668,16.6326606,N/A,Olympia Brno,4,N/A,N/A,N/A,N/A,public
5630624423,node,49.1826032,16.6905863,ČEZ,ČEZ,2,N/A,N/A,N/A,N/A,public
6468544235,node,49.2021391,16.6674567,N/A,PRE,2,N/A,N/A,N/A,N/A,public
6830494449,node,49.155217,16.6912696,EON,EON,2,N/A,N/A,N/A,N/A,yes
7569274536,node,49.2127761,16.5672808,Tesla Destination Charger Avrio Point,N/A,N/A,N/A,N/A,N/A,N/A,public
7666592356,node,49.1735179,16.5121322,N/A,E.ON,N/A,N/A,N/A,N/A,N/A,public
7741739121,node,49.2166351,16.6077223,ČEZ,ČEZ,N/A,N/A,N/A,N/A,N/A,public
7753250807,node,49.1481141,16.6028033,CATEGORY,CATEGORY,N/A,N/A,N/A,N/A,N/A,public
7753494026,node,49.1378769,16.6378241,N/A,Decathlon,2,N/A,N/A,N/A,N/A,yes
8121706628,node,49.1728603,16.553755,N/A,EVSELECT,N/A,N/A,N/A,N/A,N/A,public
8279647711,node,49.2170316,16.6061483,Cimburkova,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
8333858820,node,49.2066338,16.6359533,N/A,N/A,6,N/A,N/A,N/A,N/A,public
8385053228,node,49.2365232,16.5715603,ARTIN Brno,E.ON,2,N/A,N/A,N/A,N/A,public
8397054796,node,49.1870655,16.6225691,N/A,E.ON,2,N/A,N/A,N/A,N/A,yes
8397071621,node,49.182639,16.685092,N/A,EON,2,N/A,N/A,N/A,N/A,public
8397078137,node,49.2625496,16.5771059,N/A,E.ON,2,N/A,N/A,N/A,N/A,yes
8397083643,node,49.1676441,16.6805346,N/A,EON,2,N/A,N/A,N/A,N/A,yes
8678749530,node,49.1546095,16.5982061,N/A,E.ON,4,N/A,N/A,N/A,N/A,yes
8859155820,node,49.189302,16.6169498,Vlněna,N/A,7,N/A,N/A,N/A,N/A,public
8859155821,node,49.2328215,16.6221323,PREPoint,Čepro,2,N/A,N/A,N/A,N/A,public
8918733897,node,49.1898151,16.6171445,Vlněna,N/A,4,N/A,N/A,N/A,N/A,public
9234634357,node,49.2319945,16.5759387,Technologický park Purkyňova 115 B,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
9263829387,node,49.2308314,16.5761701,Technologický park Purkyňova 107 A,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
9330656987,node,49.1743338,16.5831709,N/A,ČEZ,5,N/A,N/A,N/A,N/A,yes
9375901799,node,49.1937094,16.5405985,Kohoutovice Vaňhalova,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
9462723249,node,49.1626481,16.660339,N/A,PRE,N/A,N/A,N/A,N/A,N/A,yes
9462726934,node,49.1173325,16.6040367,N/A,PRE,N/A,N/A,N/A,N/A,N/A,yes
9462733123,node,49.185198,16.6257357,N/A,E.ON,2,N/A,N/A,N/A,N/A,yes
9462738161,node,49.2268149,16.579026,N/A,ČEZ,2,N/A,N/A,N/A,N/A,yes
9609715891,node,49.169237,16.5738221,Bohunice Švermova,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
9714188212,node,49.1827599,16.6670599,N/A,ČEZ,2,N/A,N/A,N/A,N/A,yes
9718280036,node,49.1787619,16.6842961,Slatina Jih. nám,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
9718404212,node,49.1731311,16.5728629,Bohunice Pod Nemocnicí,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
9718406789,node,49.2179746,16.5752906,Žabovřesky Makovského nám.,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
9718422051,node,49.1811776,16.5594637,Nový Lískovec Kamínky,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
9718427933,node,49.1763337,16.5600066,Nový Lískovec Oblá,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
9718437773,node,49.2191086,16.6199546,Brno Sever náměstí SNP,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
9718451737,node,49.2321567,16.5897462,Královo Pole Palackého třída,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
9718458105,node,49.2110881,16.5909238,Žabovřesky Pod Kaštany,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
9718459290,node,49.2065632,16.6748055,Líšeň Masarova,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
9718461036,node,49.2264607,16.6210618,Brno Sever Brožíkova,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
9718461037,node,49.2305502,16.587424,Královo Pole Galandauerova,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
9718465836,node,49.2116081,16.6794619,Líšeň Kotlanova,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
9718470127,node,49.2089813,16.6861656,Líšeň Jírova,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
9718483578,node,49.1858016,16.5839322,N/A,ČEZ,2,N/A,N/A,N/A,N/A,yes
9721358895,node,49.1758598,16.6791161,N/A,PRE,1,N/A,N/A,N/A,N/A,yes
9734832432,node,49.1755545,16.5624249,N/A,MOL,1,N/A,N/A,N/A,N/A,yes
9734845486,node,49.1838835,16.6834512,N/A,MOL,1,N/A,N/A,N/A,N/A,yes
9734855748,node,49.2020366,16.6670956,N/A,MOL,2,N/A,N/A,N/A,N/A,public
9895419757,node,49.1953011,16.6049748,N/A,N/A,2,N/A,N/A,N/A,N/A,customers
9965514418,node,49.163038,16.5916862,N/A,innogy.cz,2,N/A,N/A,N/A,N/A,public
10171366395,node,49.1841454,16.5799988,N/A,N/A,2,N/A,N/A,N/A,N/A,public
10676451898,node,49.1769208,16.6019019,N/A,Bauhaus,2,N/A,N/A,N/A,N/A,yes
10698779450,node,49.1903373,16.5968785,FN u sv. Anny v Brně,Teplárny Brno,1,N/A,N/A,N/A,N/A,yes
10820206136,node,49.1549159,16.6286218,N/A,PRE,2,N/A,N/A,N/A,N/A,yes
10862767784,node,49.1374749,16.6379877,N/A,Decathlon,N/A,N/A,N/A,N/A,N/A,public
10870579753,node,49.154935,16.62872,N/A,PRE,8,N/A,N/A,N/A,N/A,public
11158769792,node,49.1762389,16.5975078,Brno Střed Vídeňská,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
11185896952,node,49.1702504,16.5983139,Brno Střed Ústřední hřbitov,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
11207330746,node,49.1926277,16.6138265,Brno Střed Benešova,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
11217811124,node,49.1891253,16.5295315,Kohoutovice Pavlovská,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
11217815056,node,49.1892544,16.5364107,Kohoutovice Axmanova,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
11217817396,node,49.1988409,16.5326053,Kohoutovice Voříškova,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
11235770683,node,49.1882374,16.5861137,BVV hlavní vchod 1,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
11284340979,node,49.2242482,16.5778198,N/A,E.ON,2,N/A,N/A,N/A,N/A,no
11284346533,node,49.2126763,16.5610731,N/A,N/A,2,N/A,N/A,N/A,N/A,public
11284346548,node,49.2216599,16.5513933,Komín Vavřinecká,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
11284346549,node,49.2252464,16.5309509,Bystrc OC Javor,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
11290887076,node,49.2223126,16.5154348,Bystrc Panorama,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
11290895598,node,49.1774381,16.5518369,Nový Lískovec Petra Křivky,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
11373970684,node,49.2191892,16.5086813,Bystrc Ečerova,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
11373991001,node,49.2144152,16.606259,Královo Pole Bazény Lužánky,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
11491088985,node,49.1774377,16.623117,Brno-Jih Hodonínská,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
11526060554,node,49.2260037,16.5819247,Tesla,N/A,2,N/A,N/A,N/A,N/A,private
11776281591,node,49.2176032,16.5076935,Bystrc Lýskova,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
11776281592,node,49.2258676,16.5217477,Bystrc Valouškova,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
11776339774,node,49.2298996,16.5181721,Bystrc Přehrada,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
11776339775,node,49.2307295,16.5185546,OREA Hotel Santon,PRE,2,N/A,N/A,N/A,N/A,yes
11783970312,node,49.2277308,16.5750319,N/A,N/A,N/A,N/A,N/A,N/A,N/A,public
11783970313,node,49.2277719,16.5750023,N/A,N/A,N/A,N/A,N/A,N/A,N/A,public
11799672998,node,49.216639,16.5185286,Bystrc Štouračova,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
11881052269,node,49.1989938,16.6697647,N/A,N/A,4,N/A,N/A,N/A,N/A,public
11885049175,node,49.2906777,16.5780969,Nabíjecí stanice pro elektrokola,N/A,N/A,N/A,N/A,N/A,N/A,public
11958341611,node,49.1745694,16.5517792,Nový Lískovec Svážná,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
11986030398,node,49.1980522,16.6037633,N/A,N/A,N/A,N/A,N/A,N/A,N/A,public
11998727012,node,49.2621027,16.5738134,N/A,Bauhaus,2,N/A,N/A,N/A,N/A,yes
12040296612,node,49.1779634,16.6049473,N/A,Pražská energetika,2,N/A,N/A,N/A,N/A,yes
12040296613,node,49.1780191,16.6049593,N/A,Pražská energetika,2,N/A,N/A,N/A,N/A,yes
12042245546,node,49.1859123,16.5950471,Brno Střed Táborského nábřeží,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12042245547,node,49.1907557,16.5944319,Brno Střed Mendlovo náměstí,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12042245548,node,49.1852851,16.6036912,Brno Střed Křídlovická,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12042245549,node,49.1881804,16.5860215,BVV hlavní vchod 3,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12042245550,node,49.1882093,16.5860664,BVV hlavní vchod 2,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12042297691,node,49.2020488,16.6106147,Brno Střed třída Kpt. Jaroše,Teplárny Brno,1,N/A,N/A,N/A,N/A,yes
12042372526,node,49.1885894,16.6147189,Galerie Vaňkovka,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12042372527,node,49.1884971,16.6147206,Galerie Vaňkovka,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12042372528,node,49.1885431,16.6147182,Galerie Vaňkovka,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12042372529,node,49.1945703,16.6055463,Domini park 1,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12042372530,node,49.194549,16.6055463,Domini park 2,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12044442076,node,49.1377631,16.6347763,Olympia 3,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12044442077,node,49.1364676,16.6315461,Olympia 1,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12044442078,node,49.137761,16.6348439,Olympia 2,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12044442079,node,49.1960009,16.6232392,Špitálka,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12044442080,node,49.189592,16.659563,Židenice Krásného,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12044442081,node,49.1909033,16.6663158,SAKO Jedovnická,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12044442082,node,49.2037473,16.6674707,Líšeň Vlkova,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12044442083,node,49.205445,16.679826,Líšeň Novolíšeňská,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12044442084,node,49.2385498,16.5882208,Řečkovice Novoměstská,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12044442085,node,49.2422078,16.5732934,Medlánky V Újezdech,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12051736544,node,49.2257841,16.5776376,ejon,N/A,2,N/A,N/A,N/A,N/A,private
12051736545,node,49.2257177,16.5774284,ejon,N/A,2,N/A,N/A,N/A,N/A,private
12068692713,node,49.2094484,16.616491,Brno Sever Zemědělská,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12068692714,node,49.1976244,16.6186031,MIG POINT,N/A,2,N/A,N/A,N/A,N/A,customers
12109081581,node,49.2029974,16.6184283,Brno Sever Černopolní,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12117397334,node,49.2256106,16.5325273,Bystrc Jakuba Obrovského,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12138632174,node,49.2307364,16.5846593,Královo Pole Herčíkova,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12138632175,node,49.2015651,16.6438781,Židenice Gajdošova,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12610416355,node,49.1866185,16.6066312,Fuchsova 1,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12610416356,node,49.1866153,16.6066371,Fuchsova 2,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12778052202,node,49.260351,16.5807747,N/A,E.ON,6,N/A,N/A,N/A,N/A,yes
12844669622,node,49.2088242,16.5914047,N/A,N/A,2,N/A,N/A,N/A,N/A,public
12844669623,node,49.2088044,16.5913269,N/A,N/A,2,N/A,N/A,N/A,N/A,public
12844669624,node,49.2087847,16.5912491,N/A,N/A,2,N/A,N/A,N/A,N/A,public
12844669625,node,49.2089823,16.5913155,N/A,N/A,2,N/A,N/A,N/A,N/A,public
12844669626,node,49.2089626,16.5912377,N/A,N/A,2,N/A,N/A,N/A,N/A,public
12844669627,node,49.2089428,16.5911599,N/A,N/A,2,N/A,N/A,N/A,N/A,public
12844669636,node,49.2091115,16.5912344,N/A,N/A,2,N/A,N/A,N/A,N/A,public
12844669637,node,49.2090918,16.5911566,N/A,N/A,2,N/A,N/A,N/A,N/A,public
12844669638,node,49.209072,16.5910788,N/A,N/A,2,N/A,N/A,N/A,N/A,public
12844669655,node,49.209247,16.5911579,N/A,N/A,2,N/A,N/A,N/A,N/A,public
12844669656,node,49.2092273,16.5910801,N/A,N/A,2,N/A,N/A,N/A,N/A,public
12844669657,node,49.2092075,16.5910023,N/A,N/A,2,N/A,N/A,N/A,N/A,public
12844669727,node,49.2095101,16.5903117,N/A,N/A,2,N/A,N/A,N/A,N/A,public
12844669728,node,49.2095261,16.5903709,N/A,N/A,2,N/A,N/A,N/A,N/A,public
12844669729,node,49.209542,16.5904302,N/A,N/A,2,N/A,N/A,N/A,N/A,public
12844669730,node,49.209558,16.5904895,N/A,N/A,2,N/A,N/A,N/A,N/A,public
12844669731,node,49.2095739,16.5905487,N/A,N/A,2,N/A,N/A,N/A,N/A,public
12844669732,node,49.209617,16.590708,N/A,N/A,2,N/A,N/A,N/A,N/A,public
12844669733,node,49.2096342,16.5907739,N/A,N/A,2,N/A,N/A,N/A,N/A,public
12844669734,node,49.2096514,16.5908397,N/A,N/A,2,N/A,N/A,N/A,N/A,public
12853388759,node,49.2257404,16.5852059,N/A,Teplárny Brno,2,N/A,N/A,N/A,N/A,public
12896491766,node,49.136524,16.6315924,Olympia 4,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12896491767,node,49.1365741,16.631591,Olympia 5,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12896491768,node,49.1879821,16.5912717,Brno Střed Rybářská,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12896491769,node,49.199873,16.6077668,Moravské náměstí,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12896491770,node,49.2439085,16.5138436,Maximus 1,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12896491771,node,49.2439085,16.5139134,Maximus 2,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12190699908,node,49.1387783,16.630679,N/A,N/A,N/A,N/A,N/A,N/A,N/A,public
12190699909,node,49.1387761,16.6307657,N/A,N/A,N/A,N/A,N/A,N/A,N/A,public
12190699910,node,49.1382301,16.6307342,N/A,N/A,N/A,N/A,N/A,N/A,N/A,public
12190699911,node,49.1382323,16.6306476,N/A,N/A,N/A,N/A,N/A,N/A,N/A,public
